ENDF-6 File: ../../data/evaluations/endf-7.1/neutrons/n-092_U_236.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  1.0000000000000000E-03
Energies:          16
Temperatures:          14
Bands:          16
                  E [eV]  1.5000000000000000E+03
                   T [K]  0.0000000000000000E+00
           Min Total [b]           Max Total [b]             Probability               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  1.2268156694296906E-01                          6.2500000000000000E-02  3.3127829839321232E+00  2.6608085522374822E+00  6.4059297031042628E-01  1.1381461384221990E-02  0.0000000000000000E+00
                                                  6.2500000000000000E-02  6.8643208743104642E+00  6.5762801925003274E+00  2.8348811978908706E-01  4.5525620210905178E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  8.3981822836058324E+00  8.2206277448775396E+00  1.7437708462021476E-01  3.1774541080815755E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  9.2645671669240777E+00  9.1657289151054417E+00  9.7224537503432476E-02  1.6137143151756976E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  9.8471499272332093E+00  9.7530297967547366E+00  9.2709098902715670E-02  1.4110315758019212E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.0303279944885960E+01  1.0223477384273385E+01  7.8654941335128778E-02  1.1476192774317901E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.0698211262114437E+01  1.0623027512721729E+01  7.3973463462257735E-02  1.2102859304528532E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.1062229506652427E+01  1.0985596795437772E+01  7.5222057932586753E-02  1.4106532820702966E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.1423108146284479E+01  1.1346595754363488E+01  7.5332873023844227E-02  1.1795188971530791E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.1820511048569294E+01  1.1724898142600772E+01  9.4327537245623691E-02  1.2853687228361269E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.2307558103102167E+01  1.2194636837226158E+01  1.1121078892826662E-01  1.7104769477890339E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.2965859588594011E+01  1.2798454606197076E+01  1.6431076281517401E-01  3.0942195817684850E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.3955846717604302E+01  1.3695801604742982E+01  2.5606603435142777E-01  3.9790785099108814E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.5817566421786761E+01  1.5354916966112937E+01  4.5508773440352196E-01  7.5617212702930141E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  2.1232269155154590E+01  1.9858398174590501E+01  1.3523867625143580E+00  2.1484218049803779E-02  0.0000000000000000E+00
                          1.6699661790192586E+03  6.2500000000000000E-02  1.9028713801696929E+02  1.6321558179843672E+02  2.6613265312526206E+01  4.5829090600636330E-01  0.0000000000000000E+00
                 Batches                    1024
                                        Mean [b]                          2.2472536321732726E+01  2.0524866298636134E+01  1.9148893799790143E+00  3.2780643117515273E-02  0.0000000000000000E+00
                                      1sigma [b]                          3.5295268445703465E-01  3.1359791010419930E-01  5.7881644351484643E-02  1.6630861273746163E-03  0.0000000000000000E+00
                                     1sigma/Mean                          1.5705956791165640E-02  1.5278925842505377E-02  3.0227147822042326E-02  5.0733785832468924E-02  0.0000000000000000E+00
                  E [eV]  1.5000000000000000E+03
                   T [K]  2.9360000000000002E+02
           Min Total [b]           Max Total [b]             Probability               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  1.2268156694296906E-01                          6.2500000000000000E-02  4.8500971191036824E+00  4.4665813938730770E+00  3.7727663886600821E-01  6.2390863646087829E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  8.0154744350827283E+00  7.7361856271856420E+00  2.7503355864058815E-01  4.2552492564597198E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  9.1773497960450428E+00  8.9685527297889891E+00  2.0590265638179556E-01  2.8944098742177946E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  9.8699122535518189E+00  9.6677871892431355E+00  1.9924872631291557E-01  2.8763379957637493E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.0380230121783899E+01  1.0166406237201050E+01  2.1042321507805187E-01  3.4006695047638261E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.0809826923008666E+01  1.0600871245573934E+01  2.0589629155532282E-01  3.0593858794194040E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.1203451872541441E+01  1.0953356116261407E+01  2.4667456844003199E-01  3.4211878399969886E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.1595220178200867E+01  1.1302775973359189E+01  2.8835215166335088E-01  4.0920531783517492E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.2034532919889839E+01  1.1678814068383188E+01  3.5093902614894401E-01  4.7798253576934874E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.2566914372971333E+01  1.2081971217647661E+01  4.7790080539695440E-01  7.0423499267016597E-03  0.0000000000000000E+00
                                                  6.2500000000000000E-02  1.3261557255877577E+01  1.2649700559101325E+01  6.0303410705999616E-01  8.8225897162034946E-03  0.0000000000000000E+00
