ENDF-6 File: /g/g19/walsh23/data/evaluations/endf-7.1/neutrons/n-092_U_234.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  5.0000000000000001E-03
Energies:          64
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  1.5000000000000000E+03  2.0744051368880164E+01  1.8014837195343201E+01  2.7212139914869424E+00  8.0001820500581154E-03  0.0000000000000000E+00
  1.6034011525958836E+03  2.0444056850499980E+01  1.7818751549486183E+01  2.6179812618426901E+00  7.3240391711147223E-03  0.0000000000000000E+00
  1.7139301707638724E+03  2.0248274863692224E+01  1.7723234340842900E+01  2.5182714504673873E+00  6.7690723819127819E-03  0.0000000000000000E+00
  1.8320784075144354E+03  2.0168735539600355E+01  1.7738230506633052E+01  2.4245911493741050E+00  5.9138835931853775E-03  0.0000000000000000E+00
  1.9583710868364510E+03  2.0128628549550921E+01  1.7770415838360748E+01  2.3529077426097671E+00  5.3049685803895231E-03  0.0000000000000000E+00
  2.0933696385626795E+03  1.9860620427266728E+01  1.7581900214990576E+01  2.2741318504329295E+00  4.5883618432459904E-03  0.0000000000000000E+00
  2.2376741941870864E+03  1.9811522015024494E+01  1.7591205748763226E+01  2.2163647470734889E+00  3.9515191877821983E-03  0.0000000000000000E+00
  2.3919262547290932E+03  1.9748930346539019E+01  1.7602698993705864E+01  2.1429720289360046E+00  3.2593238971805965E-03  0.0000000000000000E+00
  2.5568115425046558E+03  1.9552075575195005E+01  1.7468931332786660E+01  2.0799883192124891E+00  3.1559231958336121E-03  0.0000000000000000E+00
  2.7330630494816164E+03  1.8946466184348164E+01  1.6973949463249287E+01  1.9684678292691280E+00  4.0488918297936728E-03  0.0000000000000000E+00
  2.9214642957706960E+03  1.8604345526082227E+01  1.6719920640408354E+01  1.8795047914853431E+00  4.9200941884938619E-03  0.0000000000000000E+00
  3.1228528127376376E+03  1.8169213305146016E+01  1.6367133381590545E+01  1.7963756303233274E+00  5.7042932321533365E-03  0.0000000000000000E+00
  3.3381238662205506E+03  1.7646936633377248E+01  1.5926140235004215E+01  1.7142382850122297E+00  6.5581133608124502E-03  0.0000000000000000E+00
  3.5682344364039059E+03  1.7318243613714067E+01  1.5671599191308953E+01  1.6393952409062538E+00  7.2491814988504691E-03  0.0000000000000000E+00
  3.8142074720415644E+03  1.7133329312167483E+01  1.5523712247140379E+01  1.6018596869326331E+00  7.7573780944901038E-03  0.0000000000000000E+00
  4.0771364379408510E+03  1.6903499120138619E+01  1.5361156389109766E+01  1.5343753015651407E+00  7.9674294637344014E-03  0.0000000000000000E+00
  4.3581901759233579E+03  1.6679346160603252E+01  1.5184358934019752E+01  1.4865819495215364E+00  8.4052770619592460E-03  0.0000000000000000E+00
  4.6586181008717131E+03  1.6357827854526796E+01  1.4919772681800609E+01  1.4293280386244462E+00  8.7271341017273792E-03  0.0000000000000000E+00
  4.9797557549611674E+03  1.6132874037812037E+01  1.4738395261020566E+01  1.3853786359678577E+00  9.1001408236162928E-03  0.0000000000000000E+00
  5.3230307447671476E+03  1.5977192305758734E+01  1.4623286390715688E+01  1.3442546293985300E+00  9.6512856445175980E-03  0.0000000000000000E+00
  5.6899690876419809E+03  1.5827587807737231E+01  1.4506789722877325E+01  1.3103945397394485E+00  1.0403545120462423E-02  0.0000000000000000E+00
  6.0822019955734004E+03  1.5645846457362726E+01  1.4365692175695521E+01  1.2692091590367756E+00  1.0945122630471121E-02  0.0000000000000000E+00
  6.5014731266822491E+03  1.5475537476583471E+01  1.4227565598145262E+01  1.2363735854005238E+00  1.1598293037695561E-02  0.0000000000000000E+00
  6.9496463365956561E+03  1.5284971273887438E+01  1.4073437019497828E+01  1.1993464459480438E+00  1.2187808441600280E-02  0.0000000000000000E+00
  7.4287139641541589E+03  1.5103625803559829E+01  1.3925592925358607E+01  1.1651458284231733E+00  1.2887049778030728E-02  0.0000000000000000E+00
  7.9408056882866094E+03  1.4950973171866464E+01  1.3806863142511407E+01  1.1305896434357430E+00  1.3520385919333393E-02  0.0000000000000000E+00
  8.4881979954258004E+03  1.4812484351095591E+01  1.3699370488833852E+01  1.0995783780425767E+00  1.3535484219161415E-02  0.0000000000000000E+00
  9.0733242995518667E+03  1.4585162794598130E+01  1.3503879441012604E+01  1.0679909359637945E+00  1.3292417621758696E-02  0.0000000000000000E+00
  9.6987857598518003E+03  1.4444741073061165E+01  1.3393623609447115E+01  1.0380253244078834E+00  1.3092139206144970E-02  0.0000000000000000E+00
  1.0367362844084615E+04  1.4263278314255579E+01  1.3245071806155574E+01  1.0053879960728811E+00  1.2818512027110663E-02  0.0000000000000000E+00
  1.1082027689056675E+04  1.4079976253291029E+01  1.3096367126206967E+01  9.7097863227434422E-01  1.2630494809736060E-02  0.0000000000000000E+00
  1.1845957313155308E+04  1.3979860007085920E+01  1.3025512713438292E+01  9.4187471188117866E-01  1.2472581766465299E-02  0.0000000000000000E+00
  1.2662547739676576E+04  1.3776072375814978E+01  1.2853134134634027E+01  9.1082796321112003E-01  1.2110277969829331E-02  0.0000000000000000E+00
  1.3535429093731891E+04  1.3650093084587601E+01  1.2758225326904428E+01  8.7996340148917263E-01  1.1904356194008430E-02  0.0000000000000000E+00
  1.4468481739846377E+04  1.3513076880031246E+01  1.2645524546432700E+01  8.5582280095653762E-01  1.1729532642007063E-02  0.0000000000000000E+00
  1.5465853531988123E+04  1.3379852794588924E+01  1.2544759777500243E+01  8.2353017811292650E-01  1.1562838975747098E-02  0.0000000000000000E+00
  1.6531978252712579E+04  1.3208706241398538E+01  1.2399745907687313E+01  7.9750708527638892E-01  1.1453248434836217E-02  0.0000000000000000E+00
  1.7671595323392958E+04  1.3070955588717924E+01  1.2295317331017538E+01  7.6464254014187638E-01  1.0995717558510483E-02  0.0000000000000000E+00
  1.8889770873157529E+04  1.2903818999459460E+01  1.2151611709588835E+01  7.4141109757875667E-01  1.0796192291859776E-02  0.0000000000000000E+00
  2.0191920260195300E+04  1.2754154381973182E+01  1.2032245576386918E+01  7.1136857163331069E-01  1.0540233952941843E-02  0.0000000000000000E+00
