ENDF-6 File: /g/g19/walsh23/data/evaluations/endf-7.1/neutrons/n-092_U_236.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  5.0000000000000001E-03
Energies:          64
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  4.6586181008717131E+03  1.7919603418800730E+01  1.6761021984135937E+01  1.1404007674644725E+00  1.8180667200318128E-02  0.0000000000000000E+00
  4.9797557549611674E+03  1.7741099436874030E+01  1.6609419560017500E+01  1.1140530026506141E+00  1.7626874205958626E-02  0.0000000000000000E+00
  5.3230307447671476E+03  1.7573006736493014E+01  1.6470884258031372E+01  1.0850683909286527E+00  1.7054087532974792E-02  0.0000000000000000E+00
  5.6899690876419809E+03  1.7452357484946930E+01  1.6370924171801821E+01  1.0646666262796989E+00  1.6766686865374837E-02  0.0000000000000000E+00
  6.0822019955734004E+03  1.7258488372197984E+01  1.6207741559153774E+01  1.0345080951982399E+00  1.6238717845977108E-02  0.0000000000000000E+00
  6.5014731266822491E+03  1.7042646876278880E+01  1.6015930821634857E+01  1.0109541808498341E+00  1.5761873794193724E-02  0.0000000000000000E+00
  6.9496463365956561E+03  1.6880906304983650E+01  1.5877269845818571E+01  9.8843521704075232E-01  1.5201242124325850E-02  0.0000000000000000E+00
  7.4287139641541589E+03  1.6668893443103016E+01  1.5690507542855050E+01  9.6355072141413867E-01  1.4835178833802613E-02  0.0000000000000000E+00
  7.9408056882866094E+03  1.6526202558612631E+01  1.5575513787832508E+01  9.3632150213517107E-01  1.4367268644947830E-02  0.0000000000000000E+00
  8.4881979954258004E+03  1.6353108130534078E+01  1.5423599664670952E+01  9.1534885628197926E-01  1.4159609581158212E-02  0.0000000000000000E+00
  9.0733242995518667E+03  1.6217368476836672E+01  1.5308174486665544E+01  8.9542907576021002E-01  1.3764914410907844E-02  0.0000000000000000E+00
  9.6987857598518003E+03  1.6071905916846323E+01  1.5184885230687485E+01  8.7371860654638089E-01  1.3302079612463630E-02  0.0000000000000000E+00
  1.0367362844084615E+04  1.5927729782275524E+01  1.5066540256679190E+01  8.4818233001985810E-01  1.3007195576474386E-02  0.0000000000000000E+00
