ENDF-6 File: ../../data/evaluated/endfb71/neutrons/n-092_U_236.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  1.0000000000000000E-03
Energies:          32
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  1.5000000000000000E+03  2.2915433184354892E+01  2.0860484685506545E+01  2.0211804488238712E+00  3.3768050024463168E-02  0.0000000000000000E+00
  1.7176197488665471E+03  2.1977999173361265E+01  2.0103244259837929E+01  1.8436355358893037E+00  3.1119377634034946E-02  0.0000000000000000E+00
  1.9668117344642535E+03  2.1471898138980439E+01  1.9723963383766058E+01  1.7191077210370156E+00  2.8827034177374516E-02  0.0000000000000000E+00
  2.2521564516121794E+03  2.0836323750634648E+01  1.9212751278690028E+01  1.5970487702649097E+00  2.6523701679643089E-02  0.0000000000000000E+00
  2.5788989325508564E+03  2.0158296005119453E+01  1.8645493120955685E+01  1.4882752777611026E+00  2.4527606402625416E-02  0.0000000000000000E+00
  2.9530451579201390E+03  1.9599034937227060E+01  1.8193384668203059E+01  1.3830485181722980E+00  2.2601750851724684E-02  0.0000000000000000E+00
  3.3814724550255751E+03  1.9047392515682819E+01  1.7723036437855498E+01  1.3031704077102904E+00  2.1185670117033539E-02  0.0000000000000000E+00
  3.8720559126667836E+03  1.8671317748378275E+01  1.7413503604107202E+01  1.2379399227428771E+00  1.9874221528216818E-02  0.0000000000000000E+00
  4.4338131362079657E+03  1.8139697317326650E+01  1.6954928951896481E+01  1.1661342883017956E+00  1.8634077128343824E-02  0.0000000000000000E+00
  5.0770700036898152E+03  1.7739204258226916E+01  1.6615611606377247E+01  1.1061578973154500E+00  1.7434754534249235E-02  0.0000000000000000E+00
  5.8136504698103872E+03  1.7350413499071681E+01  1.6282049208772619E+01  1.0517185132573772E+00  1.6645777041698812E-02  0.0000000000000000E+00
  6.6570939066357323E+03  1.6989207935730903E+01  1.5968843092584336E+01  1.0048447636360625E+00  1.5520079510486172E-02  0.0000000000000000E+00
  7.6229039760644609E+03  1.6616360144168553E+01  1.5650130864069457E+01  9.5153280483913771E-01  1.4696475259952813E-02  0.0000000000000000E+00
  8.7288336086677609E+03  1.6296280996587708E+01  1.5373867205194742E+01  9.0849247383542331E-01  1.3921317557549414E-02  0.0000000000000000E+00
  9.9952113272118659E+03  1.5976291604716547E+01  1.5102586209442718E+01  8.6052911418379885E-01  1.3176281090043507E-02  0.0000000000000000E+00
  1.1445314913142473E+04  1.5781420811094673E+01  1.4951546659930049E+01  8.1753160392682911E-01  1.2342547237801845E-02  0.0000000000000000E+00
  1.3105799284540211E+04  1.5516911968147161E+01  1.4732157964058620E+01  7.7312291713298287E-01  1.1631086955550714E-02  0.0000000000000000E+00
  1.5007186450538222E+04  1.5318310982039563E+01  1.4575964435249533E+01  7.3131520665992711E-01  1.1031340130107339E-02  0.0000000000000000E+00
  1.7184426548244603E+04  1.5089523403633862E+01  1.4390201248963688E+01  6.8894351122097974E-01  1.0378643449175053E-02  0.0000000000000000E+00
  1.9677540274807681E+04  1.4862260035638380E+01  1.4202610652909081E+01  6.4990367569949359E-01  9.7457070298081951E-03  0.0000000000000000E+00
  2.2532354523417685E+04  1.4700307966002779E+01  1.4082173205703505E+01  6.0906631296705804E-01  9.0684473321990342E-03  0.0000000000000000E+00
  2.5801344745256465E+04  1.4542186207464130E+01  1.3962694291903363E+01  5.7098229800083000E-01  8.5096175599203953E-03  0.0000000000000000E+00
  2.9544599521177734E+04  1.4357818998304287E+01  1.3816973748631884E+01  5.3288877973275672E-01  7.9564699396384372E-03  0.0000000000000000E+00
  3.3830925073285347E+04  1.4208601009995419E+01  1.3702339534479998E+01  4.9879161521667625E-01  7.4698602987362658E-03  0.0000000000000000E+00
  3.8739110018866239E+04  1.4052101303888547E+01  1.3580030967414784E+01  4.6510792986325183E-01  6.9624066105291923E-03  0.0000000000000000E+00
  4.4359373614612385E+04  1.3908895583263375E+01  1.3466696935910029E+01  4.3566902267764068E-01  6.5296246757335832E-03  0.0000000000000000E+00
  5.0795024111871899E+04  1.3769781170016424E+01  1.3354680489901613E+01  4.0848895359017706E-01  6.1400234824838217E-03  4.7170304211980024E-04
  5.8164357705802409E+04  1.3640554770736562E+01  1.3249372475162279E+01  3.8201310059098703E-01  5.6396144601642533E-03  3.5295805231356932E-03
  6.6602832983749584E+04  1.3489331967797511E+01  1.3114946459384605E+01  3.5668048110801709E-01  5.1407506840876922E-03  1.2564276620789861E-02
  7.6265560842232342E+04  1.3377915276016619E+01  1.3011856747118314E+01  3.3159727796332644E-01  4.6697386617406593E-03  2.9791512273247969E-02
  8.7330155640667668E+04  1.3251401409540385E+01  1.2884897202836337E+01  3.0528408755492276E-01  4.1803405286921442E-03  5.7039778620431331E-02
  1.0000000000000003E+05  1.3119076811243975E+01  1.2739922904265494E+01  2.7887772101724057E-01  3.6745922346484885E-03  9.6601593726546225E-02
         Max 1sigma/Mean  4.2726710880335037E-03  4.3443518200455260E-03  4.9472822051646421E-03  8.9506930988728535E-03  1.5825688253358944E-03
