ENDF-6 File: ../../data/evaluated/endfb71/neutrons/n-092_U_235.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  1.0000000000000000E-03
Energies:          32
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  2.2500000000000000E+03  1.9754834546359792E+01  1.2096661356616348E+01  2.0362126079206679E+00  5.6219605818227718E+00  0.0000000000000000E+00
  2.4317371561241011E+03  1.9441624887328828E+01  1.2078561692301491E+01  1.9535239172136063E+00  5.4095392778136935E+00  0.0000000000000000E+00
  2.6281535984331249E+03  1.9160256160710215E+01  1.2065353330963722E+01  1.8791060846413303E+00  5.2157967451051457E+00  0.0000000000000000E+00
  2.8404350032493735E+03  1.8877775685362955E+01  1.2053637314808492E+01  1.8071095378285538E+00  5.0170288327258854E+00  0.0000000000000000E+00
  3.0698628164253259E+03  1.8622717967457049E+01  1.2036225038766201E+01  1.7422489639530852E+00  4.8442439647377729E+00  0.0000000000000000E+00
  3.3178219888467761E+03  1.8372006627053295E+01  1.2023984852599277E+01  1.6793112042803573E+00  4.6687105701737313E+00  0.0000000000000000E+00
  3.5858093367485635E+03  1.8132937015736530E+01  1.2007495461695314E+01  1.6162215621923954E+00  4.5092199918487719E+00  0.0000000000000000E+00
  3.8754425773103117E+03  1.7891854718153731E+01  1.1991272885467984E+01  1.5579181262704864E+00  4.3426637064152613E+00  0.0000000000000000E+00
  4.1884700940759267E+03  1.7668133490927524E+01  1.1973061627996991E+01  1.5018755502045602E+00  4.1931963127259761E+00  0.0000000000000000E+00
  4.5267814911462401E+03  1.7455837644573553E+01  1.1955582930758919E+01  1.4507818788321467E+00  4.0494728349824882E+00  0.0000000000000000E+00
  4.8924189998556340E+03  1.7245274753749904E+01  1.1933006217319951E+01  1.3965750969678328E+00  3.9156934394621503E+00  0.0000000000000000E+00
  5.2875898067895359E+03  1.7037871854663340E+01  1.1916404569113920E+01  1.3482053906766165E+00  3.7732618948728156E+00  0.0000000000000000E+00
  5.7146793775614105E+03  1.6848709348725983E+01  1.1895633895853562E+01  1.3014729159878671E+00  3.6516025368845551E+00  0.0000000000000000E+00
  6.1762658567787694E+03  1.6653701741711533E+01  1.1873831455641561E+01  1.2560752178880339E+00  3.5237950681819590E+00  0.0000000000000000E+00
  6.6751356311242635E+03  1.6493169255395980E+01  1.1853304030834453E+01  1.2179322250715006E+00  3.4219329994900392E+00  0.0000000000000000E+00
  7.2143001494990094E+03  1.6311535191685497E+01  1.1829531391806807E+01  1.1770726916440981E+00  3.3049311082346140E+00  0.0000000000000000E+00
  7.7970141017637334E+03  1.6144530801192857E+01  1.1805405016554319E+01  1.1363451878135431E+00  3.2027805968249958E+00  0.0000000000000000E+00
  8.4267950658144255E+03  1.5990896780315312E+01  1.1780268171608959E+01  1.1032753271428195E+00  3.1073532815635567E+00  0.0000000000000000E+00
  9.1074447415929662E+03  1.5845063414410340E+01  1.1759113401615508E+01  1.0687763561777432E+00  3.0171736566170959E+00  0.0000000000000000E+00
  9.8430719002127480E+03  1.5686296139199321E+01  1.1727351355558840E+01  1.0363737044483576E+00  2.9225710791921125E+00  0.0000000000000000E+00
  1.0638117186732619E+04  1.5552062347805244E+01  1.1702042067862918E+01  1.0061933900585271E+00  2.8438268898837991E+00  0.0000000000000000E+00
  1.1497379926302270E+04  1.5413590410207910E+01  1.1673035519495080E+01  9.7579924555045250E-01  2.7647556451623778E+00  0.0000000000000000E+00
  1.2426047095495382E+04  1.5279800496197362E+01  1.1645438658194422E+01  9.4870983618608329E-01  2.6856520018168784E+00  0.0000000000000000E+00
  1.3429724633717373E+04  1.5149867661578424E+01  1.1610787927784950E+01  9.2304306348022225E-01  2.6160366703132487E+00  0.0000000000000000E+00
  1.4514471283700297E+04  1.5028129939607005E+01  1.1582758944948743E+01  8.9762946007736821E-01  2.5477415345809087E+00  0.0000000000000000E+00
  1.5686835165364575E+04  1.4909388284806600E+01  1.1547897810580022E+01  8.7569552268165007E-01  2.4857949515449298E+00  0.0000000000000000E+00
  1.6953893303827193E+04  1.4790898520194725E+01  1.1509672569452242E+01  8.5350963639655131E-01  2.4277163143459175E+00  0.0000000000000000E+00
  1.8323294350168973E+04  1.4676128280441569E+01  1.1475946717424801E+01  8.3146505888275279E-01  2.3687165041340292E+00  0.0000000000000000E+00
  1.9803304752846536E+04  1.4571056640380805E+01  1.1441281603705953E+01  8.1178583853365383E-01  2.3179891981412042E+00  0.0000000000000000E+00
  2.1402858658464858E+04  1.4459197976859363E+01  1.1404759195318947E+01  7.9208381616970136E-01  2.2623549653707116E+00  0.0000000000000000E+00
  2.3131611843138417E+04  1.4355267404054034E+01  1.1361662745266424E+01  7.7463779034992175E-01  2.2189668684376702E+00  0.0000000000000000E+00
  2.4999999999999996E+04  1.4251578322430493E+01  1.1321871333257787E+01  7.5548248235741977E-01  2.1742245068152766E+00  0.0000000000000000E+00
         Max 1sigma/Mean  4.7749191595857713E-04  1.9599594175816301E-04  1.4587784433353680E-03  1.1107134966041887E-03  0.0000000000000000E+00
