ENDF-6 File: ../../data/evaluated/endfb71/neutrons/n-092_U_234.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  1.0000000000000000E-03
Energies:          32
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  1.5000000000000000E+03  2.0686819239678560E+01  1.7960289835309695E+01  2.7184892228091893E+00  8.0401815596383985E-03  0.0000000000000000E+00
  1.7176197488665471E+03  2.0255748876370959E+01  1.7737144069385362E+01  2.5119526218470902E+00  6.6521851384645737E-03  0.0000000000000000E+00
  1.9668117344642535E+03  2.0058147922404356E+01  1.7706444429504728E+01  2.3464599148495333E+00  5.2435780500886039E-03  0.0000000000000000E+00
  2.2521564516121794E+03  1.9825169573044466E+01  1.7617154598716361E+01  2.2041451725479027E+00  3.8698017802566015E-03  0.0000000000000000E+00
  2.5788989325508564E+03  1.9420960744285296E+01  1.7357552284353581E+01  2.0601413275058067E+00  3.2671324258717140E-03  0.0000000000000000E+00
  2.9530451579201390E+03  1.8511589814330716E+01  1.6642641682728467E+01  1.8639262352652288E+00  5.0218963370023996E-03  0.0000000000000000E+00
  3.3814724550255751E+03  1.7600084999438131E+01  1.5893517154858015E+01  1.6998234243341945E+00  6.7444202459037636E-03  0.0000000000000000E+00
  3.8720559126667836E+03  1.7097641470759481E+01  1.5507319839146747E+01  1.5825732178674927E+00  7.7484137452167486E-03  0.0000000000000000E+00
  4.4338131362079657E+03  1.6557907678798436E+01  1.5080249471672751E+01  1.4691971926456429E+00  8.4610144800286186E-03  0.0000000000000000E+00
  5.0770700036898152E+03  1.6117207879881626E+01  1.4734059920736277E+01  1.3738913447777028E+00  9.2566143676274977E-03  0.0000000000000000E+00
  5.8136504698103872E+03  1.5752632163887483E+01  1.4447241371159501E+01  1.2948118543826956E+00  1.0578938345265122E-02  0.0000000000000000E+00
  6.6570939066357323E+03  1.5400664383493943E+01  1.4166027158655350E+01  1.2228646827153198E+00  1.1772542123260321E-02  0.0000000000000000E+00
  7.6229039760644609E+03  1.5052529072172096E+01  1.3887997044422962E+01  1.1513632379137451E+00  1.3168789835396200E-02  0.0000000000000000E+00
  8.7288336086677609E+03  1.4701873247530186E+01  1.3600031666809114E+01  1.0884236207186317E+00  1.3417960002433229E-02  0.0000000000000000E+00
  9.9952113272118659E+03  1.4344005754484096E+01  1.3312587226893081E+01  1.0184898540018705E+00  1.2928673589155252E-02  0.0000000000000000E+00
  1.1445314913142473E+04  1.4052431154977286E+01  1.3082810943769234E+01  9.5718260481760842E-01  1.2437606390448389E-02  0.0000000000000000E+00
  1.3105799284540211E+04  1.3726347704686916E+01  1.2818617319176200E+01  8.9569178975579733E-01  1.2038595754919825E-02  0.0000000000000000E+00
  1.5007186450538222E+04  1.3438208886218801E+01  1.2588145366343200E+01  8.3828625031918302E-01  1.1777269556417745E-02  0.0000000000000000E+00
  1.7184426548244603E+04  1.3129345157970651E+01  1.2338157190686086E+01  7.7997228658105233E-01  1.1215680703522853E-02  0.0000000000000000E+00
  1.9677540274807681E+04  1.2808327641144396E+01  1.2073699904283741E+01  7.2392880698354234E-01  1.0698929877113364E-02  0.0000000000000000E+00
  2.2532354523417685E+04  1.2521738107635889E+01  1.1843539579175657E+01  6.6806517676220012E-01  1.0133351698040111E-02  0.0000000000000000E+00
  2.5801344745256465E+04  1.2258196869060534E+01  1.1632071881192314E+01  6.1593387748423767E-01  1.0191110383989758E-02  0.0000000000000000E+00
  2.9544599521177734E+04  1.2060574912364752E+01  1.1476291957214388E+01  5.7229985779495529E-01  1.1983097355426756E-02  0.0000000000000000E+00
  3.3830925073285347E+04  1.1876314191793513E+01  1.1331254859779019E+01  5.3129284947016153E-01  1.3766482544328135E-02  0.0000000000000000E+00
  3.8739110018866239E+04  1.1678842182449358E+01  1.1173408861386726E+01  4.9005959551971495E-01  1.5373725542894161E-02  0.0000000000000000E+00
  4.4359373614612385E+04  1.1518920709223460E+01  1.1048234512261295E+01  4.5611695799819529E-01  1.4569238963974525E-02  0.0000000000000000E+00
  5.0795024111871899E+04  1.1364335380030766E+01  1.0925891687788420E+01  4.2536323536372922E-01  1.3080456878602438E-02  0.0000000000000000E+00
  5.8164357705802409E+04  1.1209666549527510E+01  1.0802547979862942E+01  3.9548358053302718E-01  1.1634989131545511E-02  0.0000000000000000E+00
  6.6602832983749584E+04  1.1040670560831687E+01  1.0660514780681019E+01  3.6680105975573085E-01  1.3354720394922553E-02  0.0000000000000000E+00
  7.6265560842232342E+04  1.0879052566321823E+01  1.0522116775818875E+01  3.4102229303587189E-01  1.5913497467054286E-02  0.0000000000000000E+00
  8.7330155640667668E+04  1.0700969418532104E+01  1.0365570241775922E+01  3.1716981276790790E-01  1.8229363988239031E-02  0.0000000000000000E+00
  1.0000000000000003E+05  1.0512415463466782E+01  1.0196027804063618E+01  2.9606600341113798E-01  2.0321655992008782E-02  0.0000000000000000E+00
         Max 1sigma/Mean  3.4628603808556950E-03  3.4989574070590822E-03  4.2042435665141436E-03  7.4703804101866021E-03  0.0000000000000000E+00
